"Test ID","15 Sept 2026"
"CAT-ACC-005","SKIPPED"
"FUNC","SKIPPED"
"ADM-CAT-FUN-019","SKIPPED"
"ADM-CAT-FUN-020","SKIPPED"
"ADM-CAT-FUN-024","SKIPPED"
"ADM-CAT-FUN-021","SKIPPED"
"ADM-CAT-FUN-022","SKIPPED"
"ADM-CAT-FUN-023","SKIPPED"
"UF-ADMIN-15-P","PASS"
"UF-ADMIN-16-P","PASS"
"ADM-FAQ-FUN-001","PASS"
"ADM-FAQ-FUN-002","PASS"
"ADM-FAQ-FUN-003","PASS"
"ADM-FAQ-FUN-004","PASS"
"ADM-FAQ-FUN-005","PASS"
"ADM-FAQ-FUN-006","PASS"
"ADM-FAQ-FUN-007","PASS"
"ADM-FAQ-FUN-008","PASS"
"UF-ADMIN-13-P","PASS"
"UF-ADMIN-14-P","PASS"
"UF-ADMIN-07-P","PASS"
"UF-ADMIN-08-P","PASS"
"UF-ADMIN-09-P","PASS"
"UF-ADMIN-10-P","PASS"
"UF-ADMIN-11-P","PASS"
"UF-ADMIN-12-P","PASS"
"ADM-USR-FUN-001","PASS"
"ADM-USR-FUN-002","PASS"
"ADM-USR-FUN-003","PASS"
"ADM-USR-FUN-004","PASS"
"ADM-USR-FUN-005","PASS"
"ADM-USR-FUN-006","PASS"
"ADM-USR-FUN-007","PASS"
"ADM-USR-FUN-008","PASS"
"ADM-USR-FUN-009","PASS"
"ADM-USR-FUN-010","PASS"
"ADM-USR-FUN-011","PASS"
"ADM-USR-FUN-012","PASS"
"ADM-USR-FUN-013","PASS"
"ADM-USR-FUN-014","PASS"
"ADM-USR-FUN-015","PASS"
"ADM-USR-FUN-016","PASS"
"ADM-USR-FUN-017","PASS"
"ADM-USR-FUN-018","PASS"
"ADM-USR-FUN-019","PASS"
"ADM-USR-FUN-020","PASS"
"ADM-USR-FUN-021","PASS"
"UF-ADMIN-17-P","PASS"
"UF-ADMIN-18-P","PASS"
"Debug step 1 continue","PASS"
"UF-ACCT-01-P","PASS"
"UF-ACCT-02-P","FAIL"
"UF-ACCT-03-P","FAIL"
"UF-WIZ-01-P","SKIPPED"
"UF-WIZ-02-P","SKIPPED"
"UF-WIZ-03-P","FAIL"
"UF-WIZ-04-P","SKIPPED"
"UF-WIZ-07-P","SKIPPED"
"UF-WIZ-08-P","SKIPPED"
"UF-WIZ-10-P","SKIPPED"
"UF-WIZ-11-P","SKIPPED"
"UF-WIZ-14-P","SKIPPED"
"UF-WIZ-20-P","SKIPPED"
"Wizard session survives page refresh mid-fill (no data loss)","SKIPPED"
"Wizard handles 10,000-char paste in company name gracefully (no crash, no lag >2s)","FAIL"
"UF-UP-01-P","SKIPPED"
"UF-UP-02-P","SKIPPED"
"UF-UP-03-P","SKIPPED"
"UF-UP-05-P","SKIPPED"
"UF-UP-14-P","SKIPPED"
"UF-UP-16-P","SKIPPED"
"UF-WIZ-30-P","FAIL"
